epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4714.52,0.35289,0.70022,0.06991,0.32603,0.90951,0.90201,0.92024,0.94861,0.93255,0.8891,0.91088,0.92705,0.75969,0.22583,0.77853,0.03698,0.45358,0.85714,0.00026422,0.00026422,0.00026422
87,4775.09,0.35882,0.69079,0.07264,0.32764,0.91205,0.91114,0.92179,0.95341,0.93954,0.90285,0.90742,0.93416,0.76915,0.22205,0.78274,0.03687,0.44247,0.85353,0.000247716,0.000247716,0.000247716
88,4828.93,0.3597,0.68161,0.07271,0.32568,0.91198,0.90967,0.92307,0.95271,0.93829,0.89965,0.90708,0.93562,0.76864,0.2229,0.78222,0.03811,0.44903,0.85359,0.000231213,0.000231213,0.000231213
89,4893.12,0.361,0.69931,0.07142,0.32667,0.91109,0.90449,0.91794,0.95036,0.93604,0.89108,0.90441,0.92985,0.76624,0.22141,0.78586,0.03745,0.44445,0.85288,0.00021471,0.00021471,0.00021471
90,4946.02,0.35683,0.67859,0.07161,0.32584,0.91252,0.90145,0.93096,0.94924,0.93568,0.88732,0.9165,0.93015,0.76723,0.22203,0.77534,0.03788,0.43983,0.85424,0.000198206,0.000198206,0.000198206
91,5005.49,0.28999,0.57536,0.0507,0.25325,0.87631,0.88837,0.94389,0.94841,0.93309,0.87617,0.92354,0.92827,0.75863,0.22972,0.81003,0.03897,0.44346,0.8594,0.000181703,0.000181703,0.000181703
92,5059.47,0.28224,0.55107,0.04544,0.24162,0.87098,0.88611,0.94403,0.95017,0.93578,0.88492,0.91838,0.9346,0.76623,0.22914,0.79841,0.03717,0.44064,0.85736,0.0001652,0.0001652,0.0001652
93,5113.65,0.28177,0.55132,0.04645,0.24051,0.86818,0.91258,0.91281,0.94997,0.93667,0.90048,0.9043,0.93477,0.76794,0.22719,0.79955,0.03598,0.44173,0.85558,0.000148696,0.000148696,0.000148696
94,5167.43,0.28145,0.55031,0.04717,0.24447,0.87518,0.88579,0.93712,0.94977,0.93673,0.89341,0.90328,0.93145,0.76771,0.2251,0.79292,0.0362,0.45106,0.8549,0.000132193,0.000132193,0.000132193
95,5225.17,0.27485,0.5394,0.04427,0.23783,0.86775,0.88284,0.94709,0.95017,0.93701,0.86616,0.92816,0.9288,0.76796,0.22386,0.79327,0.03584,0.43788,0.85311,0.00011569,0.00011569,0.00011569
96,5284.31,0.27333,0.53115,0.04281,0.23157,0.86266,0.89873,0.93431,0.94872,0.93672,0.88443,0.91673,0.92961,0.76957,0.22345,0.79338,0.03558,0.44241,0.85333,9.91865e-05,9.91865e-05,9.91865e-05
97,5345.44,0.27295,0.53104,0.04488,0.23619,0.86696,0.90073,0.9299,0.95101,0.93855,0.88805,0.91568,0.93397,0.77088,0.22289,0.79262,0.03618,0.43827,0.85355,8.26832e-05,8.26832e-05,8.26832e-05
98,5399.25,0.27024,0.52426,0.04253,0.23222,0.86299,0.89908,0.92833,0.95135,0.93836,0.89208,0.91639,0.93448,0.77303,0.22227,0.7917,0.0357,0.44117,0.85267,6.61799e-05,6.61799e-05,6.61799e-05
99,5452.89,0.27049,0.53841,0.04457,0.23046,0.86453,0.9011,0.92742,0.95039,0.93824,0.8908,0.91404,0.93364,0.77243,0.22073,0.79298,0.03538,0.44345,0.85125,4.96766e-05,4.96766e-05,4.96766e-05
100,5508.84,0.27134,0.53229,0.04455,0.23272,0.86553,0.89319,0.93268,0.95047,0.938,0.8923,0.9114,0.93418,0.7723,0.22159,0.79056,0.03504,0.44468,0.85163,3.31733e-05,3.31733e-05,3.31733e-05
